name,numel,max_abs,min_abs_nonzero,dynamic_range,frac_bits,q_format,step,rel_err_max,rel_err_mean,group,dataset
backbone.memory_vertical,12288,0.835564374923706,6.420459612854756e-06,130140.89727326942,15.0,Q0.15,3.0517578125e-05,1.0,0.0004719413409475237,latent memory table (-> Q16),ASL_DVS
all LayerNorm weight/bias,3328,0.7761687636375427,5.3825006034458056e-05,14420.226226089966,15.0,Q0.15,3.0517578125e-05,0.15027236938476562,0.000565637310501188,LayerNorm affine (-> Q16),ASL_DVS
backbone.event_projection.seq_init.1.in,0,76.62738800048828,59.640968322753906,1.2848112657361703,8.0,Q7.8,0.00390625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.event_projection.seq_init.1.out,0,13.833873748779297,7.7523193359375,1.7844819271891288,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.preproc_block_events.seq_init.0.in_a,0,13.833873748779297,7.7523193359375,1.7844819271891288,,INT8,0.1089281397541677,,,int8 requant (ReLU input),ASL_DVS
backbone.preproc_block_events.seq_init.0.in_b,0,0.7571404576301575,0.7344953417778015,1.0308308501964694,,INT8,0.005961735886851634,,,int8 requant (ReLU input),ASL_DVS
backbone.preproc_block_events.seq_init.1.in,0,16.424692153930664,9.878950119018555,1.6625949069537775,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.preproc_block_events.seq_init.1.out,0,10.766894340515137,5.047929286956787,2.132932877711943,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_embs_block.layer_norm.centered,0,20.524967193603516,15.669466018676758,1.3098702386628482,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_embs_block.layer_norm.hat,0,5.2374958992004395,4.210688591003418,1.243857337346415,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_embs_block.layer_norm.in,0,20.61275863647461,15.740472793579102,1.3095387226794752,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_embs_block.layer_norm.out,0,2.511521100997925,1.8490136861801147,1.3583031427887844,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_embs_block.relu.in,0,5.5604658126831055,4.610499382019043,1.2060441509587732,,INT8,0.04378319537545752,,,int8 requant (ReLU input),ASL_DVS
backbone.proc_event_blocks.0.seq_init.2.in,0,26.464582443237305,12.794965744018555,2.0683589915517424,,INT8,0.20838253892312839,,,int8 requant (ReLU input),ASL_DVS
backbone.proc_event_blocks.0.seq_init.5.in,0,26.796432495117188,6.844245433807373,3.9151770278072346,,INT8,0.21099553145761565,,,int8 requant (ReLU input),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.gelu1.in,0,5.444860458374023,4.5768280029296875,1.1896580895958286,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.gelu1.out,0,4.710809230804443,3.8867135047912598,1.2120289352424092,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.gelu2.in,0,4.805263996124268,4.028660774230957,1.192769574162411,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.gelu2.out,0,4.660549163818359,3.126669406890869,1.4905794496683824,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.centered,0,0.8383578062057495,0.8383578062057495,1.0,15.0,Q0.15,3.0517578125e-05,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.hat,0,6.004432201385498,6.004432201385498,1.0,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.in,0,0.835564374923706,0.835564374923706,1.0,15.0,Q0.15,3.0517578125e-05,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_1.out,0,2.002484083175659,2.002484083175659,1.0,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.centered,0,4.636048316955566,3.7917227745056152,1.222675968856937,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.hat,0,9.760398864746094,8.107369422912598,1.2038922066585243,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.in,0,4.710809230804443,3.8867135047912598,1.2120289352424092,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_2.out,0,4.441859245300293,3.2626760005950928,1.3614159801617214,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.centered,0,15.209083557128906,11.187898635864258,1.3594227166462,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.hat,0,5.285972595214844,4.453473091125488,1.1869326449391355,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.in,0,15.24965763092041,11.225741386413574,1.358454386752304,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_att.out,0,2.017664909362793,1.553853988647461,1.2984906716486613,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.centered,0,27.05364990234375,5.792910575866699,4.670130765534241,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.hat,0,7.955616474151611,7.265894889831543,1.0949258962286006,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.in,0,29.559139251708984,6.185694694519043,4.778628870561692,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.layer_norm_x.out,0,4.30560827255249,3.7748632431030273,1.1405998032959672,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.softmax.in,0,13.801231384277344,12.496354103088379,1.1044206390459497,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.cross_attention.softmax.out,0,0.9499366879463196,0.5740910172462463,1.6546795880954548,15.0,Q0.15,3.0517578125e-05,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.in,0,4.701632022857666,4.080530643463135,1.1522109337395894,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.gelu1.out,0,4.103381156921387,3.0772621631622314,1.333451925559928,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.gelu2.in,0,6.065364360809326,4.938288688659668,1.228232034052178,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.gelu2.out,0,4.309028625488281,3.316159248352051,1.299403407007559,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.centered,0,15.785958290100098,12.21614933013916,1.2922204750030075,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.0.layer_norm_1.hat,0,5.531254768371582,4.662027359008789,1.1864483715830452,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
