dataset,config,int32_bias,int8_pos_enc,fx16_scales,fx_nonlinear,ln_dynamic_exp,accuracy,n_eval_samples,eval_time_s,file_bytes,fp32_ckpt_bytes,max_abs_bias_int,bytes_weights_int8,bytes_weight_scales,bytes_biases,bytes_pos_encoding,bytes_fx_params,bytes_act_scales,bytes_other,bytes_total,ln_bits,split_posenc_scale,ln_per_step_q,ln_centered_bits,ln_headroom_bits,gelu_frac_bits
DVS128_11,deploy_gelu_q411,True,True,True,True,False,0.9583333333333334,288,8.963022947311401,601344,1973464,8228.0,445312,6892,16812,28227,31259,123,87,528712,24.0,False,False,24.0,2.0,11.0
ASL_DVS,base,False,False,False,False,False,0.999553504985861,20157,41.19251036643982,900598,2174432,0.0,446976,13792,16864,307200,62464,164,70,847530,,,,,,
ASL_DVS,int32_bias,True,False,False,False,False,0.9994542838716078,20157,39.13512849807739,901520,2174432,16342.0,446976,13792,16864,307200,62464,164,70,847530,,,,,,
ASL_DVS,int8_pos_enc,False,True,False,False,False,0.9996031155429876,20157,37.70601725578308,671669,2174432,0.0,446976,13792,16864,76804,62464,164,70,617134,,,,,,
ASL_DVS,fx16_scales,False,False,True,False,False,0.999553504985861,20157,42.52549195289612,894623,2174432,0.0,446976,6918,16864,307200,62464,123,70,840615,,,,,,
ASL_DVS,fx_nonlinear,False,False,False,True,False,0.9994542838716078,20157,44.88513946533203,871278,2174432,0.0,446976,13792,16864,307200,31259,164,70,816325,,,,,,
ASL_DVS,fx_nonlinear_lndyn,False,False,False,True,True,0.9994542838716078,20157,44.35142493247986,872200,2174432,0.0,446976,13792,16864,307200,31259,164,70,816325,,,,,,
ASL_DVS,fx_nonlinear_ln32,False,False,False,True,False,0.9995038944287344,20157,38.63644456863403,872825,2174432,0.0,446976,13792,16864,307200,31259,164,74,816329,32.0,False,,,,
ASL_DVS,fx_nonlinear_lnstepq,False,False,False,True,False,0.9994046733144814,20157,50.3877546787262,874790,2174432,0.0,446976,13792,16864,307200,31259,164,74,816329,16.0,False,True,,,
ASL_DVS,all,True,True,True,True,False,0.999553504985861,20157,50.52106213569641,631909,2174432,16342.0,446976,6918,16864,76803,31259,123,70,579013,,,,,,
ASL_DVS,all_lndyn,True,True,True,True,True,0.999553504985861,20157,39.69233274459839,633349,2174432,16342.0,446976,6918,16864,76803,31259,123,70,579013,,,,,,
ASL_DVS,all_lnstepq,True,True,True,True,False,0.999553504985861,20157,42.99470162391663,635941,2174432,16342.0,446976,6918,16864,76803,31259,123,74,579017,16.0,False,True,,,
ASL_DVS,all_ln32,True,True,True,True,False,0.999553504985861,20157,37.458189725875854,634037,2174432,16342.0,446976,6918,16864,76803,31259,123,74,579017,32.0,False,,,,
ASL_DVS,all_ln32_splitpos,True,True,True,True,False,0.9995038944287344,20157,37.01399827003479,635665,2174432,16342.0,446976,6918,16864,76803,31259,126,74,579020,32.0,True,,,,
ASL_DVS,all_ln32_ctr16,True,True,True,True,False,0.999553504985861,20157,42.55673027038574,638677,2174432,16342.0,446976,6918,16864,76803,31259,123,87,579030,32.0,False,False,16.0,,
ASL_DVS,all_ln32_ctr32,True,True,True,True,False,0.999553504985861,20157,43.20513796806336,638677,2174432,16342.0,446976,6918,16864,76803,31259,123,87,579030,32.0,False,False,32.0,,
ASL_DVS,all_ln24,True,True,True,True,False,0.9994046733144814,20157,39.27879786491394,638136,2174432,16342.0,446976,6918,16864,76803,31259,126,87,579033,24.0,True,False,24.0,0.0,
ASL_DVS,all_ln24_guard2,True,True,True,True,False,0.9994046733144814,20157,53.208242654800415,639151,2174432,16342.0,446976,6918,16864,76803,31259,126,87,579033,24.0,True,False,24.0,2.0,
ASL_DVS,all_ln18_guard2,True,True,True,True,False,0.9994046733144814,20157,45.21666622161865,639791,2174432,16342.0,446976,6918,16864,76803,31259,126,87,579033,18.0,True,False,18.0,2.0,
ASL_DVS,all_ln20_guard2,True,True,True,True,False,0.9994046733144814,20157,38.965293169021606,639791,2174432,16342.0,446976,6918,16864,76803,31259,126,87,579033,20.0,True,False,20.0,2.0,
ASL_DVS,all_ln22_guard2,True,True,True,True,False,0.9995038944287344,20157,40.94270443916321,639791,2174432,16342.0,446976,6918,16864,76803,31259,126,87,579033,22.0,True,False,22.0,2.0,
ASL_DVS,deploy_nosplit,True,True,True,True,False,0.999553504985861,20157,52.07127046585083,639317,2174432,16342.0,446976,6918,16864,76803,31259,123,87,579030,24.0,False,False,24.0,2.0,
ASL_DVS,deploy_gelu_q411,True,True,True,True,False,0.9996031155429875,20157,43.0335431098938,639605,2174432,16342.0,446976,6918,16864,76803,31259,123,87,579030,24.0,False,False,24.0,2.0,11.0
